codigo_barra,nombre,categoria,ubicacion,precio_venta,unidad_medida,stock_actual,stock_minimo,tiene_codigo_barra
,TUBO PVC 1/2,Fontanería,Área abierta / patio de materiales,4.0,Unidad,45,12,0
,CODO PVC 1/2,Fontanería,Mostrador / sala de ventas,0.35,Unidad,120,30,0
1500279,CINTA TEFLÓN 1/2 X 10MTS,Fontanería,Mostrador / sala de ventas,0.14,Unidad,75,15,1
,CABLE ELÉCTRICO 2X50,Electricidad,Mostrador / sala de ventas,2.0,Metro,100,20,0
,TOMACORRIENTE,Electricidad,Mostrador / sala de ventas,1.75,Unidad,50,10,0
,BOMBILLO LED,Electricidad,Mostrador / sala de ventas,1.5,Unidad,40,10,0
,EXTENSIÓN ALARGADOR 2 HILOS,Electricidad,Mostrador / sala de ventas,4.0,Unidad,12,4,0
,CINTA AISLANTE,Electricidad,Mostrador / sala de ventas,1.0,Unidad,35,8,0
0700835,BROCHA DE CERDA PUNTA BLANCA 2 PULG #01 PERFECT,Pinturas,Mostrador / sala de ventas,0.6,Unidad,25,6,1
0700837,BROCHA DE CERDA PUNTA BLANCA 3 PULG #01 PERFECT,Pinturas,Mostrador / sala de ventas,0.95,Unidad,30,6,1
0700167,RODILLO JUMBO N°9 FELPA 15MM PERFECT,Pinturas,Mostrador / sala de ventas,1.98,Unidad,18,5,1
0700904,BANDEJA CON RODILLO PERFECT,Pinturas,Mostrador / sala de ventas,2.3,Unidad,10,4,1
,PINTURA GALÓN BLANCA,Pinturas,Bodega pequeña / interna,9.0,Galón,12,4,0
CIT1028,PACHÓN CITGO 5W30 FULL SINTÉTICO,Automotriz,Mostrador / sala de ventas,30.0,Unidad,10,3,1
MOT005,MOTUL 7100 10W40 4T,Automotriz,Mostrador / sala de ventas,14.75,Unidad,12,3,1
MOT001,MOTUL 3000 20W50 4T,Automotriz,Mostrador / sala de ventas,6.25,Unidad,20,5,1
VAL004,VALVOLINE 20W50,Automotriz,Mostrador / sala de ventas,5.75,Unidad,15,4,1
PH3593A,FILTRO DE ACEITE PH3593A,Automotriz,Mostrador / sala de ventas,2.25,Unidad,25,8,1
20000214,DISCO FLAP 4 1/2 TRUPER G60,Herramientas,Mostrador / sala de ventas,2.3,Unidad,30,8,1
20000224,DISCO FLAP 4 1/2 G20 TRUPER,Herramientas,Mostrador / sala de ventas,2.3,Unidad,20,6,1
0409046,DISCO METAL TRUPER 1/8,Herramientas,Mostrador / sala de ventas,1.3,Unidad,35,10,1
20005024,DISCO METAL 4 1/2 X 1MM MEISSNER,Herramientas,Mostrador / sala de ventas,0.96,Unidad,45,12,1
0603046,TORNILLO AUTORROSCANTE 2 X 1 C/EMP LÁMINA POLÍN,Herramientas,Mostrador / sala de ventas,25.0,Caja,5,2,1
0600512,TORNILLO TABLA ROCA NEGRO 6X1 1/2,Carpintería,Mostrador / sala de ventas,0.95,Bolsa,35,10,1
,CLAVO LISO,Carpintería,Mostrador / sala de ventas,2.0,Libra,75,20,0
,LIJA PARA MADERA,Carpintería,Mostrador / sala de ventas,0.5,Unidad,80,20,0
ELO010011,POLÍN GALVANIZADO 3/4 MM,Construcción,Área abierta / patio de materiales,17.03,Unidad,121.09,29.09,1
ELO010012,POLÍN GALVANIZADO 2 MM,Construcción,Área abierta / patio de materiales,16.27,Unidad,81.39,9.83,1
ELO010013,HIERRO CORRUGADO 10 PULG GRADO 40,Construcción,Área abierta / patio de materiales,5.79,Varilla,79.94,26.58,1
,BLOQUE DE CONCRETO 14,Construcción,Área abierta / patio de materiales,0.93,Unidad,41.06,8.3,0
ELO010015,POLÍN GALVANIZADO 25 MM,Construcción,Área abierta / patio de materiales,23.05,Unidad,88.61,26.81,1
ELO010016,HIERRO CORRUGADO 3/4 PULG GRADO 40,Construcción,Área abierta / patio de materiales,6.52,Varilla,113.9,14.86,1
,ARENA LAVADA POR 5/16,Construcción,Área abierta / patio de materiales,27.91,Metro³,12.67,1.79,0
ELO010018,CEMENTO GRIS TIPO GU 40 KG,Construcción,Mostrador / sala de ventas,9.11,Saco,43.59,6.43,1
ELO010019,LÁMINA GALVANIZADA CALIBRE 20,Construcción,Área abierta / patio de materiales,18.26,Unidad,16.0,4.84,1
,GRAVA TRITURADA POR 25,Construcción,Área abierta / patio de materiales,24.14,Metro³,118.62,38.29,0
ELO010021,LÁMINA GALVANIZADA CALIBRE 5/16,Construcción,Área abierta / patio de materiales,29.56,Unidad,140.7,26.1,1
ELO010022,HIERRO CORRUGADO 1 1/2 PULG GRADO 40,Construcción,Área abierta / patio de materiales,7.08,Varilla,51.09,14.97,1
,ARENA LAVADA POR 1/4,Construcción,Área abierta / patio de materiales,27.25,Metro³,21.7,3.64,0
ELO010024,LÁMINA GALVANIZADA CALIBRE 1,Construcción,Área abierta / patio de materiales,26.39,Unidad,65.53,9.18,1
,BLOQUE DE CONCRETO 14 REF 015,Construcción,Área abierta / patio de materiales,0.84,Unidad,10.85,2.2,0
ELO010026,POLÍN GALVANIZADO 1 MM,Construcción,Área abierta / patio de materiales,25.43,Unidad,35.01,5.37,1
ELO010027,POLÍN GALVANIZADO 20 MM,Construcción,Área abierta / patio de materiales,21.44,Unidad,145.3,20.67,1
ELO010028,LÁMINA GALVANIZADA CALIBRE 40,Construcción,Área abierta / patio de materiales,27.02,Unidad,16.94,4.06,1
ELO010029,CEMENTO GRIS TIPO GU 1 1/2 KG,Construcción,Mostrador / sala de ventas,9.56,Saco,49.43,13.76,1
ELO010030,LÁMINA GALVANIZADA CALIBRE 30,Construcción,Área abierta / patio de materiales,32.29,Unidad,27.17,5.46,1
,ARENA LAVADA POR 30,Construcción,Área abierta / patio de materiales,22.9,Metro³,40.88,7.33,0
ELO010032,HIERRO CORRUGADO 14 PULG GRADO 40,Construcción,Área abierta / patio de materiales,5.58,Varilla,122.78,22.15,1
,GRAVA TRITURADA POR 14,Construcción,Área abierta / patio de materiales,26.23,Metro³,142.57,19.02,0
ELO010034,POLÍN GALVANIZADO 1/2 MM,Construcción,Área abierta / patio de materiales,21.78,Unidad,131.65,38.9,1
,GRAVA TRITURADA POR 16,Construcción,Área abierta / patio de materiales,23.2,Metro³,57.07,9.12,0
,GRAVA TRITURADA POR 1 1/2,Construcción,Área abierta / patio de materiales,28.88,Metro³,85.82,17.31,0
,GRAVA TRITURADA POR 5/16,Construcción,Área abierta / patio de materiales,28.86,Metro³,68.93,9.26,0
ELO010038,POLÍN GALVANIZADO 16 MM,Construcción,Área abierta / patio de materiales,17.89,Unidad,62.58,14.15,1
,ARENA LAVADA POR 1 1/2,Construcción,Área abierta / patio de materiales,21.96,Metro³,100.94,23.7,0
ELO010040,CEMENTO GRIS TIPO GU 3/4 KG,Construcción,Mostrador / sala de ventas,8.58,Saco,120.48,25.73,1
,ARENA LAVADA POR 25,Construcción,Área abierta / patio de materiales,27.75,Metro³,20.55,6.62,0
ELO010042,POLÍN GALVANIZADO 20 MM REF 032,Construcción,Área abierta / patio de materiales,18.87,Unidad,75.48,19.26,1
,BLOQUE DE CONCRETO 1/4,Construcción,Área abierta / patio de materiales,0.8,Unidad,52.84,15.22,0
,ARENA LAVADA POR 10,Construcción,Área abierta / patio de materiales,26.72,Metro³,85.87,22.36,0
ELO010045,LÁMINA GALVANIZADA CALIBRE 1/4,Construcción,Área abierta / patio de materiales,24.88,Unidad,87.28,26.34,1
ELO010046,LÁMINA GALVANIZADA CALIBRE 40 REF 036,Construcción,Área abierta / patio de materiales,30.78,Unidad,62.67,19.17,1
,BLOQUE DE CONCRETO 1/4 REF 037,Construcción,Área abierta / patio de materiales,0.93,Unidad,140.11,27.53,0
ELO010048,LÁMINA GALVANIZADA CALIBRE 1/4 REF 038,Construcción,Área abierta / patio de materiales,31.46,Unidad,142.79,45.25,1
,GRAVA TRITURADA POR 50,Construcción,Área abierta / patio de materiales,26.86,Metro³,24.29,5.51,0
,ARENA LAVADA POR 10 REF 040,Construcción,Área abierta / patio de materiales,20.82,Metro³,61.7,14.55,0
,BLOQUE DE CONCRETO 2,Construcción,Área abierta / patio de materiales,0.77,Unidad,57.52,16.16,0
ELO010052,POLÍN GALVANIZADO 1/2 MM REF 042,Construcción,Área abierta / patio de materiales,16.71,Unidad,107.65,14.85,1
,GRAVA TRITURADA POR 14 REF 043,Construcción,Área abierta / patio de materiales,25.6,Metro³,16.71,2.57,0
,BLOQUE DE CONCRETO 20,Construcción,Área abierta / patio de materiales,0.78,Unidad,149.79,18.79,0
,GRAVA TRITURADA POR 50 REF 045,Construcción,Área abierta / patio de materiales,22.67,Metro³,53.31,16.35,0
ELO010056,POLÍN GALVANIZADO 50 MM,Construcción,Área abierta / patio de materiales,21.99,Unidad,57.02,16.51,1
,GRAVA TRITURADA POR 1 1/2 REF 047,Construcción,Área abierta / patio de materiales,29.54,Metro³,42.03,7.51,0
,GRAVA TRITURADA POR 60,Construcción,Área abierta / patio de materiales,28.98,Metro³,89.36,18.2,0
ELO010059,HIERRO CORRUGADO 1/4 PULG GRADO 40,Construcción,Área abierta / patio de materiales,3.2,Varilla,55.84,14.3,1
ELO010060,POLÍN GALVANIZADO 60 MM,Construcción,Área abierta / patio de materiales,15.72,Unidad,35.22,6.36,1
ELO010061,HIERRO CORRUGADO 30 PULG GRADO 40,Construcción,Área abierta / patio de materiales,2.66,Varilla,53.23,14.02,1
ELO010062,POLÍN GALVANIZADO 30 MM,Construcción,Área abierta / patio de materiales,15.01,Unidad,34.84,7.8,1
,GRAVA TRITURADA POR 10,Construcción,Área abierta / patio de materiales,24.74,Metro³,25.18,6.81,0
,BLOQUE DE CONCRETO 50,Construcción,Área abierta / patio de materiales,0.69,Unidad,86.48,14.05,0
ELO010065,CEMENTO GRIS TIPO GU 14 KG,Construcción,Mostrador / sala de ventas,10.83,Saco,133.72,39.6,1
,ARENA LAVADA POR 30 REF 056,Construcción,Área abierta / patio de materiales,22.68,Metro³,119.95,25.51,0
ELO010067,CEMENTO GRIS TIPO GU 30 KG,Construcción,Mostrador / sala de ventas,10.14,Saco,87.87,29.09,1
ELO010068,HIERRO CORRUGADO 60 PULG GRADO 40,Construcción,Área abierta / patio de materiales,5.87,Varilla,62.1,11.45,1
,GRAVA TRITURADA POR 12,Construcción,Área abierta / patio de materiales,29.14,Metro³,2.72,1,0
ELO010070,POLÍN GALVANIZADO 25 MM REF 060,Construcción,Área abierta / patio de materiales,20.38,Unidad,19.88,5.43,1
ELO010071,HIERRO CORRUGADO 60 PULG GRADO 40 REF 061,Construcción,Área abierta / patio de materiales,3.91,Varilla,122.05,35.71,1
ELO010072,HIERRO CORRUGADO 3/8 PULG GRADO 40,Construcción,Área abierta / patio de materiales,4.51,Varilla,63.51,9.77,1
ELO010073,CEMENTO GRIS TIPO GU 25 KG,Construcción,Mostrador / sala de ventas,10.68,Saco,36.83,7.91,1
,BLOQUE DE CONCRETO 3/8,Construcción,Área abierta / patio de materiales,0.66,Unidad,42.57,7.21,0
,ARENA LAVADA POR 60,Construcción,Área abierta / patio de materiales,21.18,Metro³,25.65,3.75,0
ELO010076,POLÍN GALVANIZADO 1/4 MM,Construcción,Área abierta / patio de materiales,13.64,Unidad,66.21,9.1,1
ELO010077,CEMENTO GRIS TIPO GU 20 KG,Construcción,Mostrador / sala de ventas,11.0,Saco,142.68,43.94,1
ELO010078,POLÍN GALVANIZADO 60 MM REF 068,Construcción,Área abierta / patio de materiales,13.06,Unidad,127.32,27.06,1
,ARENA LAVADA POR 16,Construcción,Área abierta / patio de materiales,24.36,Metro³,147.73,37.05,0
,BLOQUE DE CONCRETO 1,Construcción,Área abierta / patio de materiales,0.75,Unidad,66.7,19.59,0
ELO010081,LÁMINA GALVANIZADA CALIBRE 1/4 REF 071,Construcción,Área abierta / patio de materiales,34.16,Unidad,47.98,6.73,1
,GRAVA TRITURADA POR 10 REF 072,Construcción,Área abierta / patio de materiales,24.04,Metro³,22.25,6.63,0
,BLOQUE DE CONCRETO 30,Construcción,Área abierta / patio de materiales,0.71,Unidad,112.52,25.68,0
ELO010084,LÁMINA GALVANIZADA CALIBRE 1 REF 074,Construcción,Área abierta / patio de materiales,26.93,Unidad,81.67,21.63,1
,BLOQUE DE CONCRETO 10,Construcción,Área abierta / patio de materiales,0.91,Unidad,88.06,12.63,0
ELO010086,POLÍN GALVANIZADO 5/16 MM,Construcción,Área abierta / patio de materiales,16.3,Unidad,63.99,18.9,1
,GRAVA TRITURADA POR 5/16 REF 077,Construcción,Área abierta / patio de materiales,22.18,Metro³,75.66,15.96,0
,GRAVA TRITURADA POR 20,Construcción,Área abierta / patio de materiales,24.67,Metro³,23.7,7.8,0
,BLOQUE DE CONCRETO 10 REF 079,Construcción,Área abierta / patio de materiales,0.58,Unidad,2.32,1,0
ELO010090,CEMENTO GRIS TIPO GU 50 KG,Construcción,Mostrador / sala de ventas,10.62,Saco,105.96,13.06,1
ELO010091,LÁMINA GALVANIZADA CALIBRE 12,Construcción,Área abierta / patio de materiales,24.31,Unidad,12.38,3.32,1
ELO010092,HIERRO CORRUGADO 3/8 PULG GRADO 40 REF 082,Construcción,Área abierta / patio de materiales,3.92,Varilla,61.16,11.66,1
ELO010093,POLÍN GALVANIZADO 1/4 MM REF 083,Construcción,Área abierta / patio de materiales,14.03,Unidad,27.46,3.56,1
,BLOQUE DE CONCRETO 25,Construcción,Área abierta / patio de materiales,0.63,Unidad,67.31,14.59,0
,BLOQUE DE CONCRETO 16,Construcción,Área abierta / patio de materiales,0.67,Unidad,67.78,20.55,0
,GRAVA TRITURADA POR 5/16 REF 086,Construcción,Área abierta / patio de materiales,24.33,Metro³,145.01,24.03,0
ELO010097,LÁMINA GALVANIZADA CALIBRE 50,Construcción,Área abierta / patio de materiales,36.21,Unidad,62.2,11.51,1
,BLOQUE DE CONCRETO 1 1/2,Construcción,Área abierta / patio de materiales,0.58,Unidad,148.06,38.02,0
,ARENA LAVADA POR 25 REF 089,Construcción,Área abierta / patio de materiales,24.98,Metro³,70.44,14.82,0
,BLOQUE DE CONCRETO 40,Construcción,Área abierta / patio de materiales,0.85,Unidad,6.76,1,0
ELO010101,CEMENTO GRIS TIPO GU 60 KG,Construcción,Mostrador / sala de ventas,10.54,Saco,4.04,1,1
,BLOQUE DE CONCRETO 40 REF 092,Construcción,Área abierta / patio de materiales,0.71,Unidad,94.74,29.81,0
,ARENA LAVADA POR 5/16 REF 093,Construcción,Área abierta / patio de materiales,22.55,Metro³,33.71,5.08,0
,BLOQUE DE CONCRETO 1/2,Construcción,Área abierta / patio de materiales,0.92,Unidad,30.95,3.89,0
,BLOQUE DE CONCRETO 30 REF 095,Construcción,Área abierta / patio de materiales,0.65,Unidad,78.89,26.91,0
ELO010106,POLÍN GALVANIZADO 5/16 MM REF 096,Construcción,Área abierta / patio de materiales,19.2,Unidad,145.98,22.24,1
,GRAVA TRITURADA POR 14 REF 097,Construcción,Área abierta / patio de materiales,29.89,Metro³,75.76,21.12,0
,ARENA LAVADA POR 16 REF 098,Construcción,Área abierta / patio de materiales,23.37,Metro³,11.95,2.29,0
,ARENA LAVADA POR 2,Construcción,Área abierta / patio de materiales,23.64,Metro³,121.23,29.25,0
ELO010110,CEMENTO GRIS TIPO GU 14 KG REF 100,Construcción,Mostrador / sala de ventas,11.15,Saco,114.62,36.33,1
ELO010111,HIERRO CORRUGADO 50 PULG GRADO 40,Construcción,Área abierta / patio de materiales,4.04,Varilla,104.66,24.11,1
,BLOQUE DE CONCRETO 2 REF 102,Construcción,Área abierta / patio de materiales,0.87,Unidad,147.53,20.55,0
ELO010113,HIERRO CORRUGADO 5/16 PULG GRADO 40,Construcción,Área abierta / patio de materiales,7.08,Varilla,69.76,20.45,1
ELO010114,POLÍN GALVANIZADO 60 MM REF 104,Construcción,Área abierta / patio de materiales,15.81,Unidad,54.66,16.06,1
ELO010115,LÁMINA GALVANIZADA CALIBRE 50 REF 105,Construcción,Área abierta / patio de materiales,25.54,Unidad,60.61,7.92,1
,ARENA LAVADA POR 3/8,Construcción,Área abierta / patio de materiales,23.08,Metro³,125.03,22.62,0
ELO010117,LÁMINA GALVANIZADA CALIBRE 60,Construcción,Área abierta / patio de materiales,20.55,Unidad,54.56,10.95,1
,BLOQUE DE CONCRETO 1 1/2 REF 108,Construcción,Área abierta / patio de materiales,0.73,Unidad,6.05,1,0
,BLOQUE DE CONCRETO 30 REF 109,Construcción,Área abierta / patio de materiales,0.59,Unidad,124.77,24.08,0
,GRAVA TRITURADA POR 2,Construcción,Área abierta / patio de materiales,24.9,Metro³,41.64,8.12,0
,ARENA LAVADA POR 3/8 REF 111,Construcción,Área abierta / patio de materiales,27.41,Metro³,99.97,27.36,0
ELO010122,POLÍN GALVANIZADO 30 MM REF 112,Construcción,Área abierta / patio de materiales,12.28,Unidad,106.25,15.27,1
,ARENA LAVADA POR 40,Construcción,Área abierta / patio de materiales,25.27,Metro³,105.77,31.65,0
ELO010124,HIERRO CORRUGADO 40 PULG GRADO 40,Construcción,Área abierta / patio de materiales,5.77,Varilla,65.96,10.59,1
ELO010125,POLÍN GALVANIZADO 3/4 MM REF 115,Construcción,Área abierta / patio de materiales,17.51,Unidad,29.52,8.69,1
,ARENA LAVADA POR 1,Construcción,Área abierta / patio de materiales,22.22,Metro³,4.59,1,0
,GRAVA TRITURADA POR 60 REF 117,Construcción,Área abierta / patio de materiales,23.49,Metro³,136.28,26.93,0
ELO010128,LÁMINA GALVANIZADA CALIBRE 10,Construcción,Área abierta / patio de materiales,35.44,Unidad,106.95,21.63,1
ELO010129,CEMENTO GRIS TIPO GU 25 KG REF 119,Construcción,Mostrador / sala de ventas,10.94,Saco,123.95,16.41,1
,GRAVA TRITURADA POR 40,Construcción,Área abierta / patio de materiales,27.42,Metro³,144.3,34.61,0
,BLOQUE DE CONCRETO 3/4,Construcción,Área abierta / patio de materiales,0.73,Unidad,128.66,40.56,0
ELO010132,LÁMINA GALVANIZADA CALIBRE 1/2,Construcción,Área abierta / patio de materiales,24.02,Unidad,53.14,15.59,1
,ARENA LAVADA POR 25 REF 123,Construcción,Área abierta / patio de materiales,21.92,Metro³,106.0,28.8,0
ELO010134,CEMENTO GRIS TIPO GU 16 KG,Construcción,Mostrador / sala de ventas,10.54,Saco,24.66,8.31,1
ELO010135,CEMENTO GRIS TIPO GU 40 KG REF 125,Construcción,Mostrador / sala de ventas,10.26,Saco,104.65,29.9,1
,ARENA LAVADA POR 30 REF 126,Construcción,Área abierta / patio de materiales,24.8,Metro³,40.16,10.6,0
ELO010137,LÁMINA GALVANIZADA CALIBRE 2,Construcción,Área abierta / patio de materiales,27.9,Unidad,38.93,9.47,1
ELO010138,HIERRO CORRUGADO 40 PULG GRADO 40 REF 128,Construcción,Área abierta / patio de materiales,3.27,Varilla,29.77,6.01,1
ELO010139,POLÍN GALVANIZADO 60 MM REF 129,Construcción,Área abierta / patio de materiales,14.18,Unidad,33.76,6.89,1
,ARENA LAVADA POR 3/4,Construcción,Área abierta / patio de materiales,26.53,Metro³,29.56,8.11,0
ELO010141,POLÍN GALVANIZADO 3/8 MM,Construcción,Área abierta / patio de materiales,13.02,Unidad,30.22,4.4,1
,BLOQUE DE CONCRETO 3/4 REF 132,Construcción,Área abierta / patio de materiales,0.56,Unidad,72.51,25.18,0
ELO010143,POLÍN GALVANIZADO 50 MM REF 133,Construcción,Área abierta / patio de materiales,23.05,Unidad,12.97,3.83,1
ELO010144,LÁMINA GALVANIZADA CALIBRE 1/2 REF 134,Construcción,Área abierta / patio de materiales,22.67,Unidad,79.12,16.86,1
,BLOQUE DE CONCRETO 2 REF 135,Construcción,Área abierta / patio de materiales,0.91,Unidad,95.42,32.13,0
ELO010146,CEMENTO GRIS TIPO GU 30 KG REF 136,Construcción,Mostrador / sala de ventas,10.55,Saco,71.5,12.48,1
ELO010147,HIERRO CORRUGADO 5/16 PULG GRADO 40 REF 137,Construcción,Área abierta / patio de materiales,3.46,Varilla,23.98,4.73,1
ELO010148,LÁMINA GALVANIZADA CALIBRE 14,Construcción,Área abierta / patio de materiales,24.76,Unidad,113.63,18.56,1
,GRAVA TRITURADA POR 2 REF 139,Construcción,Área abierta / patio de materiales,28.65,Metro³,140.2,38.3,0
ELO010150,HIERRO CORRUGADO 3/4 PULG GRADO 40 REF 140,Construcción,Área abierta / patio de materiales,5.99,Varilla,116.55,40.49,1
ELO010151,HIERRO CORRUGADO 40 PULG GRADO 40 REF 141,Construcción,Área abierta / patio de materiales,7.46,Varilla,50.65,7.18,1
,BLOQUE DE CONCRETO 16 REF 142,Construcción,Área abierta / patio de materiales,0.86,Unidad,90.92,15.07,0
,BLOQUE DE CONCRETO 25 REF 143,Construcción,Área abierta / patio de materiales,0.74,Unidad,21.77,4.11,0
ELO010154,CEMENTO GRIS TIPO GU 30 KG REF 144,Construcción,Mostrador / sala de ventas,11.02,Saco,94.55,18.15,1
ELO010155,LÁMINA GALVANIZADA CALIBRE 2 REF 145,Construcción,Área abierta / patio de materiales,21.23,Unidad,122.85,21.96,1
,ARENA LAVADA POR 1/2,Construcción,Área abierta / patio de materiales,26.67,Metro³,50.6,12.34,0
ELO010157,LÁMINA GALVANIZADA CALIBRE 1/4 REF 147,Construcción,Área abierta / patio de materiales,27.31,Unidad,148.33,21.92,1
ELO010158,POLÍN GALVANIZADO 60 MM REF 148,Construcción,Área abierta / patio de materiales,22.63,Unidad,38.33,6.11,1
,BLOQUE DE CONCRETO 3/4 REF 149,Construcción,Área abierta / patio de materiales,0.66,Unidad,120.98,31.3,0
ELO010160,LÁMINA GALVANIZADA CALIBRE 30 REF 150,Construcción,Área abierta / patio de materiales,26.34,Unidad,117.17,14.38,1
ELO010161,CEMENTO GRIS TIPO GU 1 KG,Construcción,Mostrador / sala de ventas,9.97,Saco,100.65,24.53,1
,GRAVA TRITURADA POR 50 REF 152,Construcción,Área abierta / patio de materiales,25.02,Metro³,101.55,22.62,0
ELO010163,POLÍN GALVANIZADO 3/4 MM REF 153,Construcción,Área abierta / patio de materiales,15.02,Unidad,145.43,28.39,1
ELO010164,HIERRO CORRUGADO 1 PULG GRADO 40,Construcción,Área abierta / patio de materiales,7.75,Varilla,124.59,28.46,1
,GRAVA TRITURADA POR 10 REF 155,Construcción,Área abierta / patio de materiales,29.93,Metro³,93.56,13.06,0
ELO010166,CEMENTO GRIS TIPO GU 16 KG REF 156,Construcción,Mostrador / sala de ventas,10.84,Saco,93.36,20.54,1
ELO010167,LÁMINA GALVANIZADA CALIBRE 16,Construcción,Área abierta / patio de materiales,23.7,Unidad,141.26,35.6,1
ELO010168,HIERRO CORRUGADO 3/4 PULG GRADO 40 REF 158,Construcción,Área abierta / patio de materiales,4.51,Varilla,68.76,23.33,1
,GRAVA TRITURADA POR 10 REF 159,Construcción,Área abierta / patio de materiales,24.91,Metro³,79.68,16.17,0
,ARENA LAVADA POR 1/4 REF 160,Construcción,Área abierta / patio de materiales,21.79,Metro³,32.14,4.96,0
ELO010171,LÁMINA GALVANIZADA CALIBRE 10 REF 161,Construcción,Área abierta / patio de materiales,18.56,Unidad,114.58,30.24,1
,GRAVA TRITURADA POR 1/2,Construcción,Área abierta / patio de materiales,26.6,Metro³,90.81,29.13,0
ELO010173,CEMENTO GRIS TIPO GU 3/4 KG REF 163,Construcción,Mostrador / sala de ventas,10.38,Saco,69.8,21.0,1
,ARENA LAVADA POR 20,Construcción,Área abierta / patio de materiales,27.87,Metro³,30.1,8.61,0
ELO010175,CEMENTO GRIS TIPO GU 60 KG REF 165,Construcción,Mostrador / sala de ventas,9.22,Saco,136.03,21.93,1
ELO010176,CEMENTO GRIS TIPO GU 25 KG REF 166,Construcción,Mostrador / sala de ventas,11.38,Saco,47.51,14.45,1
ELO010177,CEMENTO GRIS TIPO GU 25 KG REF 167,Construcción,Mostrador / sala de ventas,11.48,Saco,89.68,27.51,1
ELO010178,HIERRO CORRUGADO 2 PULG GRADO 40,Construcción,Área abierta / patio de materiales,4.83,Varilla,40.09,7.12,1
,GRAVA TRITURADA POR 3/4,Construcción,Área abierta / patio de materiales,26.84,Metro³,63.63,11.97,0
,ARENA LAVADA POR 1 REF 170,Construcción,Área abierta / patio de materiales,25.96,Metro³,21.94,4.4,0
ELO010181,HIERRO CORRUGADO 3/4 PULG GRADO 40 REF 171,Construcción,Área abierta / patio de materiales,6.9,Varilla,111.26,32.48,1
ELO010182,CEMENTO GRIS TIPO GU 3/8 KG,Construcción,Mostrador / sala de ventas,8.89,Saco,64.94,8.86,1
,GRAVA TRITURADA POR 1,Construcción,Área abierta / patio de materiales,24.17,Metro³,56.18,10.44,0
,ARENA LAVADA POR 1/2 REF 174,Construcción,Área abierta / patio de materiales,20.63,Metro³,92.58,13.06,0
ELO010185,CEMENTO GRIS TIPO GU 14 KG REF 175,Construcción,Mostrador / sala de ventas,10.16,Saco,124.52,29.08,1
ELO010186,LÁMINA GALVANIZADA CALIBRE 1 REF 176,Construcción,Área abierta / patio de materiales,21.18,Unidad,105.9,21.44,1
ELO010187,LÁMINA GALVANIZADA CALIBRE 40 REF 177,Construcción,Área abierta / patio de materiales,33.96,Unidad,52.26,17.1,1
ELO010188,CEMENTO GRIS TIPO GU 3/4 KG REF 178,Construcción,Mostrador / sala de ventas,9.93,Saco,63.13,10.28,1
ELO010189,CEMENTO GRIS TIPO GU 3/8 KG REF 179,Construcción,Mostrador / sala de ventas,9.23,Saco,86.57,12.49,1
,BLOQUE DE CONCRETO 60,Construcción,Área abierta / patio de materiales,0.62,Unidad,132.94,32.48,0
ELO010191,HIERRO CORRUGADO 3/8 PULG GRADO 40 REF 181,Construcción,Área abierta / patio de materiales,6.19,Varilla,122.89,15.9,1
,ARENA LAVADA POR 1 REF 182,Construcción,Área abierta / patio de materiales,23.32,Metro³,93.41,23.48,0
